time_sec,value
83.087,636
83.173,645
83.242,666
83.316,667
83.381,717
83.452,671
83.515,719
83.563,674
83.623,715
83.694,666
83.755,670
83.820,669
83.897,683
83.977,720
84.069,654
84.134,668
84.187,708
84.269,667
84.368,674
84.436,677
84.496,684
84.581,667
84.647,688
84.726,663
84.819,673
84.890,679
84.964,656
85.024,688
85.097,661
85.184,656
85.236,689
85.294,655
85.408,646
85.508,661
85.580,700
85.679,657
85.747,658
85.875,710
85.929,661
86.034,656
86.100,668
86.156,692
86.240,642
86.294,637
86.358,663
86.482,699
86.558,698
86.707,629
86.768,673
86.825,656
86.912,653
86.979,658
87.083,703
87.143,651
87.215,668
87.312,709
87.371,666
87.424,628
87.513,674
87.574,692
87.627,643
87.737,673
87.794,645
87.889,659
87.969,635
88.030,660
88.091,699
89.036,673
89.580,674
89.651,705
89.706,664
89.769,636
89.847,658
89.920,679
90.007,655
90.075,639
90.136,656
90.195,642
90.256,657
90.327,684
90.388,703
90.469,641
90.538,645
90.598,627
90.670,669
90.727,658
90.788,656
90.855,643
90.911,645
90.992,656
91.060,658
91.146,654
91.208,704
91.260,655
91.335,688
91.400,660
91.470,691
91.521,656
91.599,672
91.655,659
91.746,636
91.808,704
91.860,662
91.913,656
91.975,703
92.043,706
92.103,649
92.159,646
92.215,704
92.278,665
92.373,689
92.426,633
92.483,666
92.563,667
92.621,688
92.691,625
92.758,705
92.833,653
92.909,661
93.055,657
93.137,708
93.204,645
93.266,650
93.320,662
93.378,626
93.430,705
93.485,666
93.563,659
93.652,715
93.741,656
93.805,656
93.884,704
94.010,707
94.072,666
94.161,659
94.243,713
94.365,678
94.427,663
94.487,691
94.600,641
94.677,657
94.765,702
94.854,697
94.948,624
95.034,659
95.100,639
95.176,652
95.271,649
95.354,656
95.453,707
95.521,626
95.672,645
95.738,715
95.808,645
95.918,673
95.993,640
96.095,631
96.154,698
96.272,674
96.331,661
96.388,656
96.471,721
96.554,667
96.670,656
96.987,660
97.069,657
97.149,633
97.232,689
97.286,662
97.380,646
97.454,688
97.541,645
97.609,682
97.674,674
97.773,655
97.861,706
97.952,677
98.085,656
98.168,628
98.256,656
98.323,656
99.171,688
99.462,640
99.527,679
99.602,675
99.793,609
99.873,688
99.943,612
100.081,638
100.154,648
100.233,710
100.303,666
100.388,669
100.449,660
100.528,624
100.631,693
100.755,657
100.864,645
100.969,654
101.063,641
101.169,637
101.258,647
101.439,689
101.591,669
101.676,689
101.771,679
102.549,663
103.163,641
103.780,601
104.391,677
104.739,640
104.936,621
105.051,610
105.192,607
105.340,567
105.564,579
106.144,592
106.248,578
106.950,560
107.577,606
107.680,605
107.825,639
107.985,655
108.094,739
108.196,791
108.388,1045
108.477,2310
108.647,1904
109.281,2527
109.590,1457
109.681,2187
109.773,1657
109.907,1582
109.999,990
110.099,1182
110.204,1968
110.303,2153
110.404,1902
110.491,1439
110.578,1810
110.657,1463
110.756,1820
110.880,1535
110.972,2169
111.071,2185
111.146,1663
111.283,2315
111.715,2095
111.792,2180
111.898,2802
111.963,3223
112.029,3583
112.138,2751
112.261,2451
112.404,3719
112.518,2963
112.596,1821
112.666,2496
113.194,2586
113.811,2151
114.166,1683
114.259,1525
114.368,1328
114.436,865
114.486,891
114.559,1571
114.638,1645
115.242,1609
116.063,1469
116.689,1837
117.095,3063
117.156,2081
117.240,1233
117.419,1207
117.503,1081
117.565,1152
117.649,1300
117.733,1520
117.829,1204
117.921,945
118.030,1100
118.096,1118
118.170,1253
118.257,784
118.348,1105
118.454,1104
118.563,1712
118.665,1664
118.770,1883
118.905,1419
119.514,1463
119.722,1535
119.893,1424
119.971,1135
120.073,1433
120.135,1319
120.234,1136
120.303,868
120.358,1356
120.440,1220
120.535,1139
120.603,1129
120.685,742
120.754,1281
120.872,985
120.923,1520
121.105,1405
121.203,1248
121.334,1023
121.404,1382
121.547,1231
121.764,1712
122.147,1258
122.232,1456
122.613,2112
123.227,2406
124.048,1239
124.663,679
125.070,725
125.588,1396
125.675,997
125.764,656
125.847,663
125.930,1238
126.010,1397
126.085,1642
126.156,2653
126.234,2029
126.470,2406
126.593,1729
126.656,1187
126.719,998
126.790,1215
126.860,1072
126.932,838
126.989,1099
127.057,1073
127.114,851
127.178,838
127.239,688
127.286,747
127.361,672
127.422,602
127.475,810
127.587,869
127.658,1140
127.742,969
127.822,719
127.889,880
127.993,784
128.068,797
128.164,1744
128.251,1840
128.340,1105
128.430,1388
128.490,1808
128.560,1429
128.656,1129
128.711,1157
128.781,1815
129.143,1172
129.696,853
129.897,1386
130.120,868
130.182,1408
130.268,1609
130.319,1054
130.400,1344
130.473,1584
130.560,1647
130.648,3722
130.725,3007
130.804,2043
130.858,1584
130.966,1638
131.041,3206
131.144,2859
131.224,1521
131.320,2439
131.422,2804
131.513,2109
131.590,1799
131.663,2151
131.715,1351
131.771,1332
131.824,1786
131.876,1287
131.932,1259
131.977,1237
132.060,1535
132.116,1140
132.172,949
132.229,511
132.292,653
132.365,975
132.418,685
132.477,667
132.531,670
132.610,762
132.702,756
132.765,1090
132.832,1094
132.879,934
132.961,944
133.022,596
133.094,901
133.155,1255
133.244,1438
133.333,1215
133.389,1017
133.462,1228
133.519,1153
133.583,909
133.648,861
133.707,881
133.774,1778
133.891,1756
134.211,769
134.267,999
134.325,878
134.425,685
134.482,716
134.539,609
134.645,816
134.706,871
134.759,751
134.830,800
134.922,1198
135.027,756
135.100,1106
135.188,909
135.314,627
135.373,818
135.466,649
135.536,651
135.602,1289
135.683,837
135.763,980
135.853,839
135.930,670
135.993,651
136.072,685
136.143,828
136.205,604
136.280,623
136.361,717
136.454,462
136.948,556
137.352,947
137.442,723
137.506,734
137.606,764
137.692,793
137.816,877
137.893,767
137.978,865
138.078,724
138.181,845
138.246,971
138.316,795
138.454,606
138.525,1394
138.588,2131
138.672,2058
138.730,1488
138.827,1776
138.910,1984
138.968,1530
139.082,1927
139.139,1153
139.227,1279
139.318,1664
139.520,2148
139.795,1516
140.632,967
141.454,823
141.969,1380
142.055,978
142.117,1344
142.192,969
142.253,564
142.351,473
142.448,576
142.503,511
142.556,586
142.676,505
142.724,496
142.786,596
142.859,673
143.039,683
143.112,541
143.245,724
143.388,610
143.483,848
143.613,1051
143.700,601
143.799,661
143.909,842
144.008,645
144.143,567
144.475,588
144.577,405
144.672,741
144.753,663
144.852,439
144.965,403
145.091,679
145.158,699
145.265,620
145.353,1004
145.417,948
145.505,819
145.570,826
145.690,741
145.767,412
145.842,615
145.926,490
145.981,463
146.042,508
146.174,464
146.228,671
146.376,574
146.452,397
146.536,543
146.633,487
146.979,484
147.338,725
147.524,713
147.621,419
147.703,479
147.799,531
147.887,477
148.054,385
148.158,551
148.231,444
148.291,460
148.430,352
148.836,453
149.403,444
149.755,336
150.667,387
151.188,421
151.366,368
152.015,352
152.109,545
152.458,411
152.827,773
153.031,604
153.239,464
154.148,384
154.879,403
155.374,528
155.988,364
156.511,397
157.011,624
157.422,463
158.446,388
158.824,447
159.981,340
160.835,405
161.083,404
161.449,389
162.041,350
162.541,361
162.888,342
163.062,361
163.308,375
163.499,305
163.588,301
164.383,374
165.109,294
165.257,336
166.132,320
166.840,352
167.022,400
167.105,368
167.269,407
167.356,372
167.643,422
167.708,457
167.821,479
167.937,471
168.030,458
168.124,461
168.188,457
168.238,423
168.292,431
168.390,497
168.440,564
168.521,511
168.570,470
168.636,548
169.100,463
169.477,557
170.207,487
170.899,671
171.481,947
172.165,397
172.417,571
172.530,816
172.645,690
172.745,699
172.834,486
172.891,528
172.961,756
173.089,621
173.160,749
173.265,816
173.362,832
173.440,784
173.511,1074
173.576,800
173.668,1050
173.729,795
173.798,733
173.900,596
173.960,592
174.077,651
174.154,723
174.230,811
174.322,649
174.384,580
174.438,623
174.534,609
174.590,493
174.692,469
174.781,496
174.921,511
174.999,529
175.080,404
175.141,449
175.216,479
175.290,447
175.352,576
175.496,463
175.594,500
175.668,368
175.730,423
175.776,419
175.865,455
175.937,407
176.003,448
176.103,406
176.198,470
176.289,418
176.398,409
176.468,485
176.553,480
176.611,490
176.771,505
176.889,475
176.949,577
177.000,511
177.059,411
177.131,604
177.216,560
177.350,694
177.509,734
177.603,767
177.651,857
178.034,832
178.118,921
178.178,701
178.252,909
178.391,962
178.489,826
178.564,1263
178.642,1557
178.697,1711
179.034,1587
179.295,880
179.345,1470
179.421,1392
179.692,1316
179.767,1251
180.354,2128
180.601,1637
180.976,1535
181.047,1869
181.498,1875
181.572,1986
181.671,2807
181.741,2401
181.828,2717
181.886,2837
182.003,1535
182.070,1061
182.133,1062
182.218,688
182.296,702
182.389,583
182.459,789
182.538,1071
182.619,1138
182.705,1247
182.764,901
182.833,907
182.914,1165
182.988,848
183.069,955
183.144,1319
183.198,1045
183.280,1698
183.346,896
183.422,1072
183.505,2073
183.582,2782
183.634,1865
183.692,2288
183.756,1983
183.832,1837
183.920,2627
184.019,1940
184.115,2253
184.183,2218
184.242,2740
184.303,3630
184.373,3183
184.458,3154
184.553,3728
184.614,2556
184.683,1616
184.765,1007
184.845,887
184.931,848
185.017,887
185.083,688
185.185,721
185.251,1111
185.349,1594
185.414,1504
185.477,1274
185.553,1497
185.623,1296
185.678,1681
185.748,1223
185.833,1139
185.897,1111
185.982,829
186.038,1052
186.130,1415
186.196,1716
186.250,1791
186.353,1330
186.677,2055
186.793,2961
186.848,2507
186.950,1904
187.036,1262
187.276,1744
187.350,1319
187.427,1141
187.482,1101
187.560,1721
